,favorite_count,retweet_count,tweet_id
118,57751,12200,868880391209275392
119,0,1742,4196983835
120,23570,4444,868622480696651777
121,8936,1742,868552270358618113
122,21533,3554,867900486011297792
123,30166,6229,867774933065236480
124,14297,2109,867420991437365250
125,0,100,787461778435289088
126,28609,6755,867051512509460480
127,17805,336,866458715725213696
128,17069,2953,866686816879087618
129,108501,30058,866450698984185856
130,46427,12159,866334954229301248
131,0,7133,4196983835
132,22856,4814,865718147889979392
133,23520,4271,865359385135955968
134,24960,6634,865006724092010496
135,28752,7475,864873202618687489
136,13032,2571,864279556340957184
137,26551,7555,864197387966791680
138,18381,3577,863907404156518400
139,13634,3612,1165500693492297728
140,0,2084,4196983835
141,21224,4543,863432092616491008
142,1956,80,863427515083354112
143,7877,949,863079538779013120
144,7502,2084,863062462383378432
145,17164,4443,862831346963447808
146,15289,3075,862722516858445824
147,18204,4231,862457580722860032
148,66065,19905,862096984366354432
149,32188,9228,861383888685236224
150,15304,3574,861288473281437696
151,14940,3319,861005103205031937
152,0,1850,4196983835
153,0,675,363890752
154,6701,1850,860563764940226560
155,21198,4582,860524497660776448
156,16528,3056,860276575736020992
157,14965,5104,860184837587517440
158,0,26611,4196983835
159,17574,3573,859924516142804992
160,13945,3058,859851567826169857
161,16791,1360,859607806428803077
162,80303,26174,859196962498805762
163,30334,11920,859074595021836288
164,0,7050,4196983835
165,14090,3018,858843519850614784
166,19420,4241,858471621065150464
167,14189,2532,858107922668277760
168,14452,2259,857989982342057986
169,30709,9312,857746390159675396
170,5291,1437,857393395161067520
171,18205,3959,857263152219791360
172,203,16,180670967
173,0,146,58709723
174,17002,3472,857029813072252928
175,14791,2534,856543816828018689
176,10792,1651,856526604033556482
177,489,15,1554627845221138437
178,25166,5564,856282018912628741
179,302,21,194351775
180,4396,849,13615722
181,10835,1853,855857698524602368
182,41814,16076,855851444666236933
183,24218,2638,5920532
184,27027,7282,855459446566400000
185,0,5246,4196983835
186,0,36,747554344434831360
187,20626,5327,854732704503431168
188,26496,6000,854482381390073856
189,17156,4132,854365212241043457
190,29149,6571,854120347066548224
191,14801,2784,854010162683707392
192,26012,5103,853760873545973760
193,31453,8836,853639138628837376
194,14130,3160,853299949064388608
195,0,1782,4196983835
196,8229,1591,852912235101921280
197,13611,1904,852672601419911169
198,14856,3100,852553437929721865
199,30277,8840,852311356040765442
200,18305,6071,852223481894903808
201,10553,1415,852189646159327233
202,14921,3118,851591634672287744
203,22220,6290,851464803281489921
204,18984,5157,851224878485315584
205,28068,8052,850753625559322625
206,12049,2325,850380153985355777
207,3184,301,21955058
208,15011,3385,850145600721047552
209,18738,4355,850019779427667968
210,27857,6797,849776958493818880
211,0,4432,4196983835
212,14647,2822,849412289417494528
213,10533,1683,849336535245877248
214,38922,7603,849051911668064256
215,23227,3913,848690539105071104
216,22779,4142,848324954202439680
217,7528,644,848213670039564288
218,15003,2711,848212097242615808
219,0,2913,4196983835
220,0,394,597064155
221,21693,4559,847962765348052992
222,5002,1186,847842804353032196
223,6456,376,1046500110
224,17318,3075,847606161679331329
225,18925,3907,847251028009336833
226,18335,5242,847157199944208384
227,19835,2869,847116177323253760
228,18582,3541,846874803135021056
229,41089,10346,846514034648190977
230,13035,82,14980820
231,29029,8146,846153751811387393
232,28743,21188,846088307100418048
233,14775,2581,846042902916583425
234,26958,7842,845812035082440705
235,23389,4371,845677937315713024
236,7068,1616,845397049587699714
237,21568,4845,845306874031476736
238,0,6924,4196983835
239,12647,2306,844979535204429824
240,13906,2840,844973805558685696
241,15267,2806,844580505345511424
242,12673,1985,844223764510334976
243,14081,2697,843981021012017153
244,19914,4160,843856835564240896
245,15662,2475,843604386559348738
246,19930,5384,843235535846031360
247,14191,3310,842846286093209601
248,6282,1175,842765306540052480
249,16877,3165,842535582697971714
250,22681,5246,842163518233292801
251,13005,2754,842115183262736384
252,0,13527,4196983835
